id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
53863,Star of Midnight,1935-04-19,280,831,13,13,22,3,1,1,1,2,1,1,3,0,2,0,0,2,0
229,The Bride of Frankenstein,1935-04-20,393750,2000000,15,52,37,14,16,2,1,1,1,1,4,0,2,1,0,2,0
43896,The Informer,1935-05-09,243000,950000,24,35,41,6,12,1,2,5,3,3,2,1,2,2,0,3,0
3080,Top Hat,1935-08-29,609000,3202000,22,11,26,3,4,1,1,9,1,1,4,0,3,1,0,1,0
70881,Anna Karenina,1935-08-30,1152000,1439000,9,22,17,11,3,1,0,1,1,1,4,0,0,1,0,0,0
12311,Mutiny on the Bounty,1935-11-22,1950000,4460000,27,62,64,11,14,1,2,5,3,1,7,0,1,2,0,5,0
31866,Sylvia Scarlett,1935-12-25,641000,497000,15,9,15,4,5,1,1,2,1,3,4,0,1,0,0,2,0
3082,Modern Times,1936-02-05,1500000,8500000,20,37,47,2,8,2,4,3,3,3,1,0,0,2,0,2,0
43881,San Francisco,1936-06-26,1300000,5273000,14,35,40,6,3,1,1,2,3,2,2,0,1,1,0,1,0
20325,Swing Time,1936-08-27,886000,2600000,29,9,25,3,10,1,4,4,3,2,4,0,5,2,1,3,0
43875,Mary of Scotland,1936-08-28,864000,1276000,15,25,32,7,1,0,2,1,1,1,3,0,3,1,0,3,0
112284,The Gorgeous Hussy,1936-08-28,1119000,2019000,12,25,26,8,3,1,2,1,2,1,3,0,1,0,0,1,0
43884,The Charge of the Light Brigade,1936-10-20,1200000,2736000,11,31,33,2,7,1,1,1,0,1,3,0,1,1,0,2,0
259325,The Woman I Love,1937-04-15,725000,783000,15,20,25,3,7,1,1,3,1,1,2,0,1,4,0,1,0
91727,Night Must Fall,1937-04-30,589000,1015000,13,11,14,8,2,1,1,3,1,3,2,0,1,0,0,1,0
249799,Parnell,1937-06-04,1547000,1576000,9,17,19,5,2,1,0,2,0,1,3,0,0,0,0,2,0
408,Snow White and the Seven Dwarfs,1937-12-21,1488423,184925486,105,13,59,3,56,3,18,4,3,8,11,46,1,10,0,1,0
114079,A Yank at Oxford,1938-02-18,1374000,2736000,7,11,14,2,2,0,0,0,0,1,6,0,0,0,0,0,0
43839,Alexander's Ragtime Band,1938-05-24,2000000,4000000,11,33,30,8,6,1,2,1,1,1,3,0,1,1,0,0,0
34106,You Can't Take It with You,1938-08-23,1644736,7433101,22,142,94,24,46,1,2,5,1,2,5,0,3,1,0,2,0
24965,Gunga Din,1939-01-26,1915000,2807000,33,39,46,3,23,2,3,5,2,3,4,0,5,6,0,3,0
